Tier,Company,Country,Email,Segment,Why,Status,Date sent,Follow-up due,Notes
1,Banner Ltd,UK,customerservice@banner.co.uk,Schoolwear brand,National schoolwear supplier - sources overseas,DRAFTED,,,Trowbridge. Biggest UK schoolwear name
1,Trutex,UK,td@trutex.com,Schoolwear brand,150-yr schoolwear brand - sources overseas,DRAFTED,,,Clitheroe. Verify they outsource not compete
1,Schoolblazer,UK,customerservices@schoolblazer.com,Schoolwear brand,Serves independent schools direct,DRAFTED,,,Peterborough
1,Perry Uniform,UK,info@perryuniform.co.uk,Schoolwear brand,National schoolwear,DRAFTED,,,Leeds. Uniform Schoolwear Ltd
1,Monkhouse,UK,web@monkhouse.com,Schoolwear retail chain,Multi-store national,DRAFTED,,,Altrincham
1,William Turner & Son,UK,sales@william-turner.co.uk,Schoolwear mfr,Ties/uniform - may outsource knits,DRAFTED,,,Altrincham
1,PL Schoolwear,UK,aylesbury@plschoolwear.co.uk,Schoolwear,Orders 115-5050 pcs at $5.10-5.80. Imports from Pakistan,SENT-BOUNCED,2026-08-03,,ORIGINAL ADDRESS DEAD - resend to aylesbury@
1,Vixn Fit,UK,vixn@vixnfit.com,Activewear brand,1099 pcs at $13.37. 90/10 poly-spandex. Sizes 6-26,DRAFTED,,,"No public email. Use form or Instagram DM | Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
1,Inno Knits LLC,US/CA,info@innoknits.com,Sourcing house,One agent = many brands. Ships to Canada,DRAFTED,,,President Muneeb Tariq - also on LinkedIn
1,Pro Cheer Uniforms,CA,info@procheer.com,Teamwear decorator,Buys blanks for practice apparel,DRAFTED,,,Pickering ON. Doug Martin. Canada LDCT duty edge
1,WheelhouseW10 Uniform,CA,SALES@WheelhouseW10.com,Teamwear decorator,Blanks behind spirit-wear,DRAFTED,,,Cobourg ON. Jason McLean
2,Stevensons,UK,customerservices@stevensons.co.uk,Schoolwear,400+ schools,SENT,2026-08-03,2026-08-10,Auto-reply = HubSpot service queue. Find a buyer on LinkedIn
2,County Sports & Schoolwear,UK,info@countyschoolwear.co.uk,Schoolwear,Embroidery + print; supplies internationally,SENT,2026-08-03,2026-08-10,Stourbridge. 01384 352340
2,School Days Direct,UK,info@schooldaysdirect.co.uk,Schoolwear,90+ schools; in-house embroidery,DRAFTED,,,"Slough. 01628 665353 - CALL don't email | Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Skoolkit,UK,enquiries@skoolkit.co.uk,Schoolwear,Multi-store,DRAFTED,,,"Eastleigh | Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Termtex Ltd,UK,sales@termtex.co.uk,Schoolwear,Wigan,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Vortex Clothing,UK,schools@vortexuk.com,Schoolwear,Barnsley,DRAFTED,,,"Dedicated schools address - good sign | Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Big Fish Schoolwear,UK,sales@bigfishschoolwear.co.uk,Schoolwear,Nottingham,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Nationwide School Uniforms,UK,admin@nsuniforms.co.uk,Schoolwear,Name implies scale,DRAFTED,,,"Spilsby | Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Schoolwear Solutions,UK,cust.service@schoolwearsolutions.com,Schoolwear,Leicester,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Whittakers Schoolwear,UK,info@whittakersschoolwear.co.uk,Schoolwear,Darwen,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Rawcliffes Leeds,UK,info@rawcliffesleeds.co.uk,Schoolwear,Leeds,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,PMG Schoolwear,UK,customerservices@pmgschoolwear.co.uk,Schoolwear,Uxbridge,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Charles Kirk,UK,sales@charleskirk.co.uk,Schoolwear supplier,Leicester,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Emblematic Ltd,UK,Sales@emblematic.co.uk,Schoolwear,Newcastle,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Uniformity Clothing,UK,info@uniformityclothing.co.uk,Schoolwear,Chester,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Liverpool Schoolwear,UK,info@liverpoolschoolwear.co.uk,Schoolwear,Liverpool,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Winterbottom Schoolwear,UK,info@winterbottoms-schoolwear.co.uk,Schoolwear,Carlisle,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Kitted Out Schoolwear,UK,info@kittedoutschoolwear.co.uk,Schoolwear,Liverpool,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Justs Clothing NW,UK,info@justsclothing.co.uk,Schoolwear,Preston,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Classworx,UK,uniform@classworx.co.uk,Schoolwear,Macclesfield,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Badged Uniform Warehouse,UK,admin@badged.co.uk,Schoolwear,Sandbach. Davenports,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Cain of Heswall,UK,info@cainofheswall.co.uk,Schoolwear,Wirral,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Boydells,UK,shop@boydellsport.com,Schoolwear + sport,Widnes,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Impressions Uniform,UK,standish@impressionsuniform.co.uk,Schoolwear,Standish,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,MCS Stores,UK,info@mcsstores.co.uk,Schoolwear,Manchester,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Tru Schoolwear,UK,info@vijschoolwear.co.uk,Schoolwear,Accrington,DRAFTED,,,"Gmail draft created 26 Aug 2026 (Claude); review, set From alias, attach linecard, send"
2,Schoolshop York,UK,sales@school-shop.co.uk,Schoolwear,York,TO SEND,,,
2,Denby Dale Clothing,UK,enquires@denbydaleclothing.co.uk,Schoolwear mfr,Barnsley - may compete,TO SEND,,,Check if they outsource
2,JR Sports,UK,sales@jr-sports.co.uk,Schoolwear + sport,Otley,TO SEND,,,
2,The Rizues,UK,admin@rizues.com,Schoolwear,Bradford,TO SEND,,,
2,My Uniform Hub,UK,sales@myuniformhub.com,Schoolwear,Birmingham,TO SEND,,,
2,School Uniform Merchant,UK,info@theschooluniformmerchant.co.uk,Schoolwear,Tipton,TO SEND,,,
2,Something Special Cheadle,UK,admin@ssc-limited.co.uk,Schoolwear,Stoke,TO SEND,,,
2,Regency Clothing,UK,office@regency-clothing.com,Schoolwear,Droitwich,TO SEND,,,
2,W D Coe,UK,help@coes.co.uk,Schoolwear,Ipswich,TO SEND,,,
2,Birds of Dereham,UK,enquiries@birdsofdereham.com,Schoolwear,Dereham,TO SEND,,,
2,Aubyn Davies,UK,enquiries@aubyndavies.co.uk,Schoolwear,Bury St Edmunds,TO SEND,,,
2,C & D Uniform Solutions,UK,info@candduniform.co.uk,Schoolwear,Ipswich,TO SEND,,,
2,Riviera Schooldays,UK,info@rivieraschooldays.co.uk,Schoolwear,Torquay,TO SEND,,,
2,Daws Clothing,UK,hello@dawsclothing.co.uk,Schoolwear,Devon,TO SEND,,,
2,Billings & Edmonds,UK,sales@billingsandedmonds.co.uk,Schoolwear,Eton,TO SEND,,,
2,Batemans Sports,UK,orders@batemanssports.co.uk,Schoolwear + sport,Stroud,TO SEND,,,
2,Game Set & Match,UK,info@gsam.co.uk,Schoolwear + sport,Chichester,TO SEND,,,
2,Wreal Sports,UK,info@wrealsports.co.uk,Schoolwear + sport,Cheltenham,TO SEND,,,
2,NK Sports,UK,enquiries@nkgroupuk.com,Schoolwear + sport,Weston Super Mare,TO SEND,,,
2,Top Form Schoolwear,UK,admin@top-form.co.uk,Schoolwear,Harlow,TO SEND,,,
2,Bucks Schoolwear,UK,info@bucksschoolwearplus.co.uk,Schoolwear,Aylesbury,TO SEND,,,
2,Pages Schoolwear,UK,info@pages-schoolwear.co.uk,Schoolwear,Maidstone,TO SEND,,,
2,School I.D.,UK,contactus@school-id.co.uk,Schoolwear,Borehamwood,TO SEND,,,
2,School Uniform Direct,UK,info@sud.co.uk,Schoolwear,Mitcham,TO SEND,,,
2,Schoolwear Inc,UK,sales@schoolwearinc.co.uk,Schoolwear,Worcester Park,TO SEND,,,
2,Smiths Schoolwear,UK,sales@smithsschoolwear.co.uk,Schoolwear,Barnet,TO SEND,,,
2,Smarty Schoolwear,UK,customerservice@smartyschoolwear.co.uk,Schoolwear,Hatfield,TO SEND,,,
2,Graduates Schoolwear,UK,info@graduates-schoolwear.co.uk,Schoolwear,Orpington,TO SEND,,,
2,Horncastles,UK,sales@horncastles.co.uk,Schoolwear,Sevenoaks,TO SEND,,,
2,JK Clothing,UK,sales@jkclothing.co.uk,Schoolwear,London SE9,TO SEND,,,
2,Juniper Uniform,UK,customers@juniperuniform.com,Schoolwear,London W13,TO SEND,,,
2,Angels Uniforms,UK,info@angelsuniforms.co.uk,Schoolwear,Pinner,TO SEND,,,
2,KL Schoolwear,UK,orders@klschoolwear.co.uk,Schoolwear,Chesham,TO SEND,,,
2,KT Textiles,UK,enquiries@kttextiles.co.uk,Schoolwear,Yateley,TO SEND,,,
2,Oz Schoolwear,UK,info@ozschoolwear.co.uk,Schoolwear,Orpington,TO SEND,,,
2,Beat School Uniforms,UK,info@beatschooluniforms.co.uk,Schoolwear,Watford,TO SEND,,,
2,Alleycatz,UK,info@alleycatz.co.uk,Schoolwear,Hersham,TO SEND,,,
2,Anglia Sports & Schoolwear,UK,customersupport@angliasportsandschoolwear.co.uk,Schoolwear + sport,Clacton,TO SEND,,,
2,Barsleys,UK,mail@barsleys.co.uk,Schoolwear,Paddock Wood,TO SEND,,,
2,Ellis Scott Schoolwear,UK,enquiry@ellisscott.co.uk,Schoolwear,Reigate,TO SEND,,,
2,Emblem Wickford,UK,info@emblem-group.co.uk,Schoolwear,Wickford,TO SEND,,,
2,Teenywear,UK,enquiries@teenywear.co.uk,Schoolwear,Harrow,TO SEND,,,
2,Wear2School,UK,shop@wear2school.co.uk,Schoolwear,Leighton Buzzard,TO SEND,,,
2,Wearabouts,UK,office@wearabouts.co.uk,Schoolwear,Southampton,TO SEND,,,
2,Schooltime,UK,info@schooltime.co.uk,Schoolwear,Chatham,TO SEND,,,
2,Kids Connection,UK,store@kidsconnection.co.uk,Schoolwear,Hertford,TO SEND,,,
2,McCalls of Lisburn,UK-NI,SALES@MCCALLSOFLISBURN.COM,Schoolwear,Lisburn NI,TO SEND,,,
2,Border Embroideries,UK-SCO,info@beuniforms.co.uk,Schoolwear decorator,Greenlaw,TO SEND,,,
2,R.C. Smith & Co,UK-SCO,info@smithsofgreenock.co.uk,Schoolwear,Greenock,TO SEND,,,
2,A Class Apart,UK-WAL,info@aclassapart.co.uk,Schoolwear,Dinas Powys,TO SEND,,,
2,J&S Products Apparel,UK-WAL,sales@js-products.co.uk,Schoolwear,Swansea,TO SEND,,,
3,Stitch Design,UK,enquiries@stitchdesign.co.uk,Embroidery/print house,Pure blanks buyer,TO SEND,,,Overton
3,Ace Embroidery,UK,sales@ace-embroidery.co.uk,Embroidery house,Pure blanks buyer,TO SEND,,,Cradley Heath
3,Needle n Thread Embroidery,UK,sales@needlenthread.co.uk,Embroidery house,Pure blanks buyer,TO SEND,,,Wolverhampton
3,Design Stitch Sew,UK,sales@designstitch.co.uk,Embroidery house,Pure blanks buyer,TO SEND,,,Wirral
3,Linela Embroidery,UK,enquiries@linela.co.uk,Embroidery house,Pure blanks buyer,TO SEND,,,Bristol
3,Falcon Sportswear,UK,sales@falconsports.co.uk,Sportswear decorator,Blanks buyer,TO SEND,,,Bingley
3,Cornwall Screenprint,UK,info@cornwallscreenprint.co.uk,Print house,Blanks buyer,TO SEND,,,St Austell
3,Castle Printwear,UK,hello@castleprintwear.co.uk,Print house,Blanks buyer,TO SEND,,,Castle Donington
3,Print and Sew Station,UK,sales@printandsewstation.com,Print house,Blanks buyer,TO SEND,,,Gosport
3,Frizbee,UK,sales@frizbee.co.uk,Decorator,Blanks buyer,TO SEND,,,Folkestone
3,Grip Racewear,UK,sales@gripracewear.com,Racewear,1000 pcs soft goods at $4.01,TO SEND,,,Core is SFI race suits we cannot make - pitch tees/hoodies only
4,Gustav Daiber,DE,info@daiber.de,Promo blanks brand,Owns James & Nicholson / myrtle beach,FOLLOW-UP DUE,2026-07-20,OVERDUE,Brand owner - sources from factories
4,Promodoro Fashion,DE,info@promodoro.de,Promo blanks brand,Brand owner,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,HAKRO,DE,kundenbeziehungen@hakro.com,Promo blanks brand,Brand owner,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,TB International,DE,info@tbint.de,Streetwear/promo brand,Urban Classics / Build Your Brand,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Engelbert Strauss,DE,info@engelbert-strauss.de,Workwear brand,Very large,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Karlowsky Fashion,DE,info@karlowsky.de,Hospitality workwear,Knit polos/tees; BSCI,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Impact Tailors,ES,hello@impacttailors.com,Hospitality uniforms,Organic + recycled poly,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Studio 104,UK,enquiries@studio-104.com,Hospitality uniforms,Outsources,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,OCEANR,IE,info@oceanr.co,Hotel tech polos,Performance fabrics,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Norm Tekstil,TR,demireld@normltd.com.tr,Knitwear buying agent,Fabric-agnostic; seeks duty-free EU,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Epsilon Global Sourcing,UK,(form epsilongs.com),Sourcing agent,Knit tees/polos/fleece for EU/UK brands,FOLLOW-UP DUE,2026-07-20,OVERDUE,No email - use form
4,KHQS International,IN,sathish@khqsintl.com,Knit agent,Lifestyle/performance labels,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Firebrand Promotions,UK,sales@firebrandpromotions.co.uk,Promo,Blanks,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Sustainable Better Merch,SE,order@sustainablebettermerch.com,Merch,Blanks,FOLLOW-UP DUE,2026-07-20,OVERDUE,
4,Afends,AU,wholesale@afends.com,Streetwear,Jersey & fleece sourcing,FOLLOW-UP DUE,2026-07-20,OVERDUE,
5,Stitchmate Ltd,UK,DO NOT SEND,-,DISSOLVED 21 Jul 2026,DEAD,,,Still listed in Schoolwear Association directory - stale
5,5 Star Tradex,UK,DO NOT SEND,-,Courier/freight company not a buyer,DEAD,,,Forwarder on someone else's shipment
5,Tradewind GmbH,DE,DO NOT SEND,-,Factoring/trade-finance company,DEAD,,,Financing party not a garment buyer
5,Woolworth GmbH,DE,DO NOT SEND,-,$2.20/pc for 9018 pcs - below fabric cost,UNWINNABLE,,,Cannot compete. Do not try
5,Imagine Design Inc,US,DO NOT SEND,-,Too many same-name companies to identify,UNVERIFIED,,,
5,Marton Mills / National Weaving / Madeira / Navico,UK,DO NOT SEND,-,Fabric weavers & thread - not garment buyers,WRONG SEGMENT,,,From Schoolwear Assoc list
5,Gardiner Bros / ToeZone,UK,DO NOT SEND,-,Footwear,WRONG SEGMENT,,,
5,Eskimo Epos / Stabilo,UK,DO NOT SEND,-,Till software / pens,WRONG SEGMENT,,,
6,Frugi,UK,frugiwholesale@welovefrugi.com,Kidswear,Organic kidswear Cornwall - outsources,TO SEND,,,GOTS organic - may need cert we lack
6,JoJo Maman Bebe,UK,(contact page),Kidswear,Large UK kidswear - outsources to Asia,VERIFY EMAIL,,,Will likely require audit
6,Boden,UK,(contact page),Kids + ladies + mens,Large UK multi-category - outsources,VERIFY EMAIL,,,Will require audit
6,Amaia,UK,(contact page),Kidswear,Small London label,VERIFY EMAIL,,,
6,Trotters,UK,(contact page),Kidswear,London childrenswear,VERIFY EMAIL,,,
6,Rachel Riley,UK,mailorder@rachelriley.co.uk,Kidswear,London childrenswear,TO SEND,,,
6,Pepa & Co,UK,(contact page),Kidswear,Spanish-style kidswear UK-based,VERIFY EMAIL,,,
6,Tobias & the Bear,UK,(contact page),Kidswear,Small independent,VERIFY EMAIL,,,
6,Blade & Rose,UK,(contact page),Kidswear,Independent - wholesale programme,VERIFY EMAIL,,,Has wholesale channel
6,Turtledove London,UK,customerservice@turtledovelondon.com,Kidswear,Organic independent,TO SEND,,,
6,Little Green Radicals,UK,rebecca@littlegreenradicals.co.uk,Kidswear,Organic/Fairtrade,TO SEND,,,Needs GOTS + Fairtrade
6,Kite Clothing,UK,info@kite-clothing.co.uk,Kidswear,Organic,TO SEND,,,Needs GOTS
6,Piccalilly,UK,(contact page),Kidswear,Organic,VERIFY EMAIL,,,Needs GOTS
6,Nobody's Child,UK,(contact page),Ladies,Mid-size DTC - outsources,VERIFY EMAIL,,,
6,Damson Madder,UK,(contact page),Ladies,Fast-growing DTC,VERIFY EMAIL,,,
6,Never Fully Dressed,UK,(contact page),Ladies,DTC,VERIFY EMAIL,,,
6,Kitri,UK,(contact page),Ladies,DTC London,VERIFY EMAIL,,,
6,Omnes,UK,(contact page),Ladies,Sustainable DTC,VERIFY EMAIL,,,
6,Baukjen,UK,(contact page),Ladies,Sustainable,VERIFY EMAIL,,,
6,Isabella Oliver,UK,(contact page),Ladies maternity,Same group as Baukjen,VERIFY EMAIL,,,
6,Beaumont Organic,UK,(contact page),Ladies,Organic,VERIFY EMAIL,,,Needs GOTS
